size, time
4, 21.9
4, 22.6
4, 22.6
4, 23.1
4, 23.3
4, 23.6
4, 23.8
4, 23.8
4, 23.8
4, 24.0
4, 24.0
4, 24.2
4, 24.2
4, 24.4
4, 24.4
4, 24.7
4, 24.7
4, 25.3
4, 25.3
4, 25.3
4, 25.7
4, 25.7
4, 25.7
4, 25.7
4, 25.7
4, 25.8
4, 26.2
4, 26.4
4, 26.4
4, 26.7
4, 26.8
4, 26.8
4, 26.8
4, 26.8
4, 26.8
4, 26.8
4, 26.9
4, 26.9
4, 27.1
4, 27.2
4, 27.2
4, 27.2
4, 27.3
4, 27.3
4, 27.4
4, 27.4
4, 27.4
4, 27.4
4, 27.4
4, 27.5
4, 28.0
4, 28.0
4, 28.0
4, 28.2
4, 28.2
4, 28.2
4, 28.2
4, 28.3
4, 28.3
4, 28.4
4, 28.4
4, 28.4
4, 28.4
4, 28.4
4, 28.8
4, 28.8
4, 28.8
8, 23.5
8, 23.5
8, 23.6
8, 23.6
8, 23.8
8, 23.9
8, 24.1
8, 24.1
8, 24.1
8, 24.5
8, 24.5
8, 24.8
8, 24.8
8, 24.9
8, 24.9
8, 24.9
8, 25.2
8, 25.2
8, 25.3
8, 25.3
8, 25.4
8, 25.5
8, 26.4
8, 26.7
8, 27.0
8, 27.1
8, 27.1
8, 27.1
8, 27.2
8, 27.2
8, 27.2
8, 27.2
8, 27.2
8, 27.2
8, 27.2
8, 27.3
8, 27.3
8, 27.4
8, 27.5
8, 27.5
8, 27.5
8, 27.6
8, 27.6
8, 27.6
8, 27.9
8, 27.9
8, 27.9
8, 28.0
8, 28.0
8, 28.0
8, 28.1
8, 28.1
8, 28.1
8, 28.3
8, 28.3
8, 28.3
8, 28.3
8, 28.3
8, 28.8
8, 28.8
8, 28.8
8, 29.1
8, 29.3
8, 29.3
8, 29.6
8, 29.6
8, 29.6
16, 22.0
16, 22.0
16, 23.5
16, 23.5
16, 23.7
16, 23.7
16, 23.7
16, 23.7
16, 23.7
16, 23.8
16, 23.9
16, 23.9
16, 24.0
16, 24.0
16, 24.2
16, 24.2
16, 24.2
16, 24.7
16, 24.7
16, 24.7
16, 24.9
16, 25.0
16, 25.0
16, 25.0
16, 25.3
16, 25.3
16, 25.3
16, 25.4
16, 25.4
16, 25.4
16, 25.5
16, 25.5
16, 25.5
16, 25.5
16, 25.5
16, 25.5
16, 25.6
16, 25.8
16, 25.8
16, 25.8
16, 25.9
16, 26.1
16, 26.1
16, 26.1
16, 26.4
16, 26.5
16, 26.6
16, 27.2
16, 27.2
16, 27.2
16, 27.3
16, 27.3
16, 27.7
16, 27.7
16, 27.7
16, 27.7
16, 27.7
16, 27.8
16, 27.9
16, 27.9
16, 27.9
16, 28.0
16, 28.1
16, 28.1
16, 28.1
16, 28.4
16, 28.4
32, 24.2
32, 24.3
32, 24.3
32, 24.3
32, 25.1
32, 25.1
32, 25.3
32, 25.3
32, 25.3
32, 25.3
32, 25.8
32, 26.1
32, 26.2
32, 26.2
32, 26.2
32, 26.2
32, 26.3
32, 26.3
32, 26.3
32, 26.4
32, 26.4
32, 26.4
32, 26.5
32, 26.5
32, 26.5
32, 26.7
32, 26.7
32, 26.8
32, 27.3
32, 27.3
32, 27.3
32, 27.4
32, 27.4
32, 27.6
32, 27.7
32, 27.7
32, 27.7
32, 27.7
32, 27.7
32, 27.8
32, 27.8
32, 27.8
32, 27.8
32, 27.8
32, 27.9
32, 27.9
32, 28.0
32, 28.0
32, 28.1
32, 28.3
32, 28.3
32, 28.3
32, 28.7
32, 28.7
32, 28.7
32, 28.7
32, 28.7
32, 29.6
32, 29.6
32, 29.6
32, 29.6
32, 31.0
32, 31.0
32, 31.0
32, 31.2
32, 31.2
32, 31.2
64, 22.1
64, 23.0
64, 23.0
64, 23.3
64, 23.4
64, 23.7
64, 23.7
64, 23.7
64, 24.0
64, 24.1
64, 24.8
64, 25.2
64, 25.2
64, 25.6
64, 25.6
64, 25.7
64, 25.7
64, 25.9
64, 26.2
64, 26.2
64, 26.4
64, 26.5
64, 26.5
64, 26.5
64, 26.5
64, 26.5
64, 26.5
64, 26.6
64, 26.6
64, 26.6
64, 26.6
64, 26.6
64, 26.7
64, 26.8
64, 26.8
64, 26.9
64, 26.9
64, 27.0
64, 27.1
64, 27.1
64, 27.1
64, 27.9
64, 27.9
64, 27.9
64, 28.3
64, 28.3
64, 28.5
64, 28.5
64, 28.7
64, 28.7
64, 28.7
64, 28.7
64, 28.9
64, 28.9
64, 28.9
64, 29.0
64, 29.0
64, 29.0
64, 29.5
64, 29.5
64, 29.5
64, 29.7
64, 29.7
64, 29.7
64, 30.0
64, 30.0
64, 30.0
128, 22.2
128, 22.9
128, 22.9
128, 23.2
128, 23.7
128, 24.4
128, 24.4
128, 24.6
128, 25.0
128, 25.0
128, 25.2
128, 25.2
128, 25.2
128, 25.3
128, 25.5
128, 25.5
128, 25.5
128, 25.5
128, 25.6
128, 25.6
128, 25.6
128, 25.7
128, 25.7
128, 25.7
128, 25.9
128, 25.9
128, 25.9
128, 25.9
128, 26.0
128, 26.0
128, 26.1
128, 26.1
128, 26.1
128, 26.2
128, 26.5
128, 26.5
128, 26.5
128, 26.7
128, 26.7
128, 26.7
128, 26.7
128, 27.1
128, 27.1
128, 27.1
128, 27.6
128, 27.8
128, 27.8
128, 27.8
128, 27.9
128, 27.9
128, 27.9
128, 28.5
128, 28.5
128, 28.5
128, 28.8
128, 28.8
128, 28.8
128, 28.8
128, 28.8
128, 28.8
128, 28.8
128, 28.9
128, 28.9
128, 28.9
128, 29.2
128, 29.2
128, 29.2
256, 22.2
256, 22.2
256, 22.8
256, 24.2
256, 24.2
256, 24.3
256, 25.5
256, 25.6
256, 25.6
256, 25.8
256, 26.2
256, 26.5
256, 26.6
256, 26.7
256, 27.1
256, 27.1
256, 27.1
256, 27.1
256, 27.1
256, 27.4
256, 27.4
256, 27.5
256, 27.5
256, 27.9
